synset_id,synset_offset,story_noun,stories
stable.n.01,4294879,stable,"'fables-07.vgl'"
cheese.n.01,7850329,cheese,"'fables-01.vgl'"
distress.n.02,14476852,distress,"'fables-04.vgl'"
wolf.n.01,2114100,wolf,"'fables-07.vgl'"
corn.n.03,7731952,corn,"'fables-05.vgl'"
bearing.n.03,4910377,bearing,"'blogs-05.vgl'"
hayfield.n.01,8570634,hayfield,"'fables-02.vgl'"
thing.n.04,4424218,thing,"'blogs-07.vgl'"
narrator.n.01,10345804,narrator,"'blogs-06.vgl', 'blogs-05.vgl', 'blogs-04.vgl', 'blogs-01.vgl', 'blogs-02.vgl', 'blogs-03.vgl', 'blogs-07.vgl'"
agreement.n.03,13971065,agreement,"'fables-07.vgl'"
comic_book.n.01,6596364,comic_book,"'blogs-07.vgl'"
domestic_fowl.n.01,1789740,domestic_fowl,"'fables-05.vgl'"
drinking_vessel.n.01,3241496,drinking_vessel,"'fables-03.vgl'"
baton_rouge.n.01,9091398,Baton_Rouge,"'blogs-03.vgl'"
countryman.n.02,9971135,countryman,"'fables-03.vgl'"
workplace.n.01,4602044,workplace,"'blogs-01.vgl'"
harvest.n.03,1015310,harvest,"'fables-05.vgl'"
trap.n.01,4474466,trap,"'fables-05.vgl'"
wind_instrument.n.01,4586932,wind_instrument,"'blogs-03.vgl'"
broth.n.01,7585208,broth,"'fables-04.vgl'"
farmyard.n.01,3323211,farmyard,"'fables-07.vgl'"
randomness.n.02,4771332,randomness,"'blogs-03.vgl'"
area.n.03,5221895,area,"'blogs-03.vgl'"
lion.n.01,2129165,lion,"'fables-06.vgl', 'fables-02.vgl'"
bowl.n.01,2881193,bowl,"'blogs-04.vgl'"
young_buck.n.01,10804287,young_buck,"'blogs-02.vgl'"
yard.n.03,8684294,yard,"'fables-05.vgl'"
anger.n.02,14036539,anger,"'fables-06.vgl'"
journalism.n.01,6266417,journalism,"'blogs-03.vgl'"
net.n.06,3819595,net,"'fables-06.vgl'"
opportunity.n.01,14483917,opportunity,"'fables-06.vgl'"
channel.n.07,3006398,channel,"'blogs-03.vgl'"
language.n.05,5650820,language,"'blogs-05.vgl'"
field.n.14,8659446,field,"'fables-05.vgl'"
patio.n.01,3899768,patio,"'blogs-03.vgl'"
city.n.01,8524735,city,"'blogs-03.vgl'"
food.n.01,21265,food,"'fables-04.vgl'"
order.n.03,13968547,order,"'blogs-03.vgl'"
repair.n.02,14546701,repair,"'blogs-03.vgl'"
meal.n.03,7567707,meal,"'fables-07.vgl'"
man.n.01,10287213,man,"'blogs-02.vgl'"
temper.n.02,7551052,temper,"'fables-06.vgl'"
gasoline.n.01,14686913,gasoline,"'blogs-03.vgl'"
storm.n.02,13978344,storm,"'blogs-03.vgl'"
big_game.n.01,2153109,big_game,"'fables-06.vgl'"
table.n.02,4379243,table,"'fables-04.vgl'"
poison.n.01,15032376,poison,"'fables-03.vgl'"
bush.n.06,10875468,Bush,"'blogs-03.vgl'"
bull.n.01,2403325,bull,"'fables-02.vgl'"
fire.n.07,14686186,fire,"'blogs-06.vgl'"
mouse.n.01,2330245,mouse,"'fables-06.vgl'"
toaster_oven.n.01,4442441,toaster_oven,"'blogs-06.vgl'"
louisiana.n.01,9090825,Louisiana,"'blogs-03.vgl'"
desk.n.01,3179701,desk,"'blogs-05.vgl'"
tear_gas.n.01,15067877,tear_gas,"'blogs-01.vgl'"
fox.n.01,2118333,fox,"'fables-05.vgl', 'fables-01.vgl', 'fables-04.vgl'"
golfcart.n.01,3445924,golfcart,"'blogs-03.vgl'"
insect.n.01,2159955,insect,"'blogs-07.vgl'"
police.n.01,8209687,police,"'blogs-01.vgl'"
company.n.03,13929588,company,"'blogs-01.vgl'"
cruiser.n.01,3141065,cruiser,"'blogs-01.vgl'"
leadership.n.02,8381436,leadership,"'blogs-01.vgl'"
scene.n.08,4144782,scene,"'blogs-01.vgl'"
rioting.n.01,13977043,rioting,"'blogs-01.vgl'"
club.n.02,8227214,club,"'blogs-01.vgl'"
today.n.01,15262921,today,"'blogs-01.vgl'"
prosperity.n.01,14489699,prosperity,"'blogs-01.vgl'"
government.n.01,8050678,government,"'blogs-01.vgl'"
window.n.01,4587648,window,"'blogs-01.vgl'"
street.n.05,8225426,street,"'blogs-01.vgl'"
annual.n.02,6426468,annual,"'blogs-01.vgl'"
leader.n.01,9623038,leader,"'blogs-01.vgl'"
people.n.03,7971141,people,"'blogs-01.vgl'"
thing.n.04,4424218,thing,"'blogs-01.vgl'"
bullet.n.01,2916350,bullet,"'blogs-01.vgl'"
