synset_id,synset_offset,story_verb,stories,,
burn.v.03,377002,burn,{'fables-05.vgl'},,
frighten.v.01,1779165,scare,{'blogs-07.vgl'},,
hear.v.01,2169702,hear,{'fables-06.vgl', 'blogs-02.vgl'},
sit.v.01,1543123,sit,{'fables-01.vgl'},,
discover.v.04,721437,discover,{'fables-01.vgl', 'blogs-06.vgl'},
graze.v.02,1608508,graze,{'fables-02.vgl'},,
intend.v.01,708538,intend,{'fables-07.vgl'},,
jump.v.01,1963942,jump,{'fables-07.vgl', 'blogs-07.vgl'},
call.v.03,789448,call,{'fables-07.vgl'},,
measure.v.04,681429,assess,{'blogs-03.vgl'},,
sip.v.01,1170687,sip,{'fables-03.vgl'},,
tell.v.05,720961,tell,{'blogs-05.vgl'},,
caw.v.01,1060065,caw,{'fables-01.vgl'},
stay.v.01,117985,stay,{'blogs-03.vgl'},
teach.v.01,829107,teach,{'blogs-05.vgl'},
gyrate.v.01,2049190,coil,{'fables-03.vgl'},
clean.v.01,1532589,clean,{'blogs-06.vgl'},
beg.v.01,759269,beg,{'fables-07.vgl'},
say.v.10,945499,say,{'fables-07.vgl'},
spill.v.01,1542207,spill,{'fables-03.vgl'},
flim-flam.v.01,2575723,trick,{'fables-02.vgl'},
impart.v.03,2079933,carry,{'fables-05.vgl'},
lie_down.v.01,1985029,liedown,{'fables-07.vgl'},
help.v.01,2547586,help,{'fables-06.vgl', 'fables-03.vgl'}
entangle.v.01,2678287,entangle,{'fables-06.vgl'},
seize.v.01,1212572,seize,{'fables-03.vgl'},
set.v.13,1628899,set,{'fables-05.vgl'},
spiffing.s.01,2344381,repay,{'fables-06.vgl'},
watch.v.01,2150510,watch,{'blogs-03.vgl', 'fables-02.vgl'},
try.v.01,2530167,try,{'fables-01.vgl', 'fables-03.vgl', 'blogs-06.vgl'}
get.v.01,2210855,get,{'fables-01.vgl'},,
devour.v.02,1820798,devour,{'fables-03.vgl'},,
feel.v.01,1771535,feel,{'fables-01.vgl'},,
recover.v.01,2247977,retrieve,{'blogs-06.vgl'},,
crash.v.02,2088627,crash,{'blogs-02.vgl'},,
approach.v.01,2053941,approach,{'blogs-04.vgl'},,
rising.a.01,2486932,meet,{'blogs-01.vgl'},,
divide.v.01,2467662,split,{'blogs-03.vgl'},,
crop.v.04,1576478,graze,{'blogs-07.vgl'},,
react.v.01,717358,react,{'blogs-05.vgl'},,
pelt.v.01,1507914,pelt,{'blogs-01.vgl'},,
continue.v.02,781000,continue,{'blogs-05.vgl'},,
cosignatory.s.01,2112891,air,{'blogs-06.vgl'},,
repent.v.02,1796582,regret,{'blogs-02.vgl'},,
prevent.v.02,2450505,prevent,{'blogs-06.vgl'},,
sleep.v.01,14742,sleep,{'fables-06.vgl', 'blogs-02.vgl', 'blogs-07.vgl'}
spit.v.01,101956,spit,{'fables-03.vgl'},,
lap.v.01,2692197,lap,{'fables-04.vgl'},,
carry.v.23,2586121,persuade,{'fables-02.vgl'},,
ascend.v.03,2381571,ascend,{'blogs-06.vgl'},,
bid.v.03,759657,entreat,{'fables-06.vgl'},,
step.v.01,1928838,step,{'blogs-05.vgl'},,
diffuse.v.01,2060141,spread,{'blogs-06.vgl'},,
form.v.01,2448185,organize,{'blogs-04.vgl'},,
put.v.01,1494310,put,{'fables-04.vgl'},,
fill.v.02,451838,fill,{'blogs-03.vgl'},,
fear.v.01,1780729,fear,{'fables-02.vgl'},,
walk.v.01,1904930,walk,{'fables-02.vgl'},,
feign.v.01,838043,feign,{'blogs-05.vgl'},,
serve.v.02,1095218,serve,{'fables-04.vgl'},,
invite.v.01,1760143,invite,{'fables-04.vgl'},,
use.v.01,1158872,use,{'blogs-06.vgl', 'blogs-02.vgl'},
talk.v.02,941990,talk,{'blogs-02.vgl'},,
recognize.v.02,728617,recognize,{'fables-06.vgl'},,
run.v.01,1926311,run,{'fables-06.vgl'},,
burn.v.02,2768874,burn,{'blogs-01.vgl'},,
happen.v.01,339934,happen,{'blogs-07.vgl'},,
hold.v.02,1216670,hold,{'blogs-04.vgl'},,
go_back.v.01,2723951,goback,{'blogs-02.vgl', 'blogs-03.vgl'},
laugh.v.01,31820,laugh,{'fables-06.vgl'},,
lie.v.01,2690708,lie,{'fables-07.vgl'},,
see.v.10,662589,check,{'blogs-07.vgl', 'blogs-05.vgl'},
fail.v.03,1799235,fail,{'fables-04.vgl'},,
catch.v.01,725748,catch,{'fables-05.vgl', 'fables-06.vgl', 'fables-07.vgl'}
stop.v.01,1860795,stop,{'blogs-03.vgl'},,
believe.v.01,683280,believe,{'blogs-02.vgl', 'fables-04.vgl'},
raise.v.02,1974062,lift,{'blogs-05.vgl'},
spare.v.02,2564674,spare,{'fables-07.vgl', 'fables-06.vgl'}
loiter.v.01,2639075,lurk,{'blogs-07.vgl'},
eat.v.01,1168468,eat,{'fables-07.vgl', 'fables-02.vgl'}
free.v.01,2421374,free,{'fables-03.vgl'},
arrive.v.01,2005948,arrive,{'fables-06.vgl', 'blogs-07.vgl'}
see.v.01,2129289,see,{'blogs-07.vgl'},
think.v.01,689344,think,{'fables-06.vgl'},
meet.v.05,2667900,fit,{'fables-04.vgl'},
plan.v.02,704690,plan,{'fables-02.vgl'},
wear.v.01,52374,wear,{'blogs-01.vgl'},
glance.v.01,2165304,glance,{'blogs-05.vgl'},
desire.v.01,1825237,want,{'blogs-02.vgl'},
defame.v.01,846509,smear,{'blogs-07.vgl'},
trip.v.04,1643657,activate,{'blogs-06.vgl'},
resume.v.01,350104,resume,{'blogs-05.vgl'},
get_down.v.07,345761,begin,{'fables-06.vgl'}
prove.v.02,664788,show,{'fables-01.vgl'}
close.v.01,1345109,shut,{'blogs-06.vgl'}
make.v.01,2560585,make,{'fables-07.vgl'}
have.v.01,2203362,have,{'blogs-03.vgl'}
contend.v.06,1090335,fight,{'fables-03.vgl'}
protest.v.01,910135,protest,{'blogs-01.vgl'}
