answer	qid
The narrator was a teacher, owned some white slip and owned a desk.	blogs-05-1
the group of students for presence	blogs-05-2
The narrator noticed that the ankle of the narrator was observed.	blogs-05-3
teaching	blogs-05-4
The narrator glanced around the group of students.	blogs-05-5
The narrator lifted the slip and inserted it into a bottom drawer of the desk.	blogs-05-6
Nervously I looked down to see that my underslip had somehow made its way to the floor.	blogs-05-7
Just thought I would share with you one of my most embarassing moments as a teacher to date.	blogs-05-8
Nervously I looked down to see that my underslip had somehow made its way to the floor.	blogs-05-9
A Farmer was greatly annoyed by a Fox, which came prowling about his yard at night and carried off his fowls.	fables-05-1
As ill-luck would have it, however, the Fox made straight for the fields where the corn was standing ripe and ready for cutting.	fables-05-2
It quickly caught fire and was all burnt up, and the Farmer lost all his harvest.	fables-05-3
The agriculturist set a trap and caught the fox.	fables-05-4
The agriculturist tied some fiber onto the tail of the fox and in order to retaliate.	fables-05-5
The agriculturist kindled the fiber and freed the fox.	fables-05-6
The corn	fables-05-7
The agriculturist lost a crop.	fables-05-8
The young man died on the spot of the yard of the narrator.	blogs-02-1
The young man died on the spot of the yard of the narrator.	blogs-02-2
Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.	blogs-02-3
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.	blogs-02-4
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep.	blogs-02-5
The narrator saw some bright flash in a group of trees that was above the narrator.	blogs-02-6
"At first, my logical mind thought that it was my brother playing around with his new flashlight (not at all like it, but the closest thing I could imagine)
And when I went inside the house, everyone was snoring!"	blogs-02-7
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.	blogs-02-8
The narrator stayed with the young man and didn't aid him because the young man had broken the neck of the young man.	blogs-02-9
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.	blogs-02-10
to wonder that the flash was an orb	blogs-02-11
The narrator saw some bright flash in a group of trees that was above the narrator.	blogs-02-12
The squirrel approached the bowl.	blogs-04-1
The squirrel fell over the deck's railing because the squirrel leaped because the squirrel was startled.	blogs-04-2
The squirrel 's paw	blogs-04-3
themselves	blogs-04-4
Squirrels also come to drink out of it.	blogs-04-5
But not quite, I saw his one little paw hanging on!	blogs-04-6
I had a digital camera	blogs-04-7
This is one of those times I wish I had a digital camera.	blogs-04-8
The birds literally line up on the railing and wait their turn.	blogs-04-9
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.	fables-03-1
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.	fables-03-2
it	fables-03-3
A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.	fables-03-4
The serpent spat some poison in the drinking vessel.	fables-03-5
The serpent spat some poison in the drinking vessel.	fables-03-6
to sip from the drinking vessel	fables-03-7
The eagle spilled the drinking vessel.	fables-03-8
The eagle spilled the drinking vessel.	fables-03-9
Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.	fables-03-10
Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.	fables-03-11
In revenge the Serpent spat some of his poison into the man's drinking-horn.	fables-03-12
Maxine was a happy frog that lived in a beautiful pond by the river.	mc500.train.25.0
Will stopped singing and went outside.	mc500.train.111.0
When at the store, Will had a good laugh at a very silly looking dog.	mc500.train.111.1
She went to Miami to visit some friends.	mc500.train.0.1
a salad	mc500.train.0.2
Kristin had soup.	mc500.train.0.3
She traveled from Atlanta.	mc500.train.0.4
Alyssa was happy to spend time with her friends again.	mc500.train.0.5
They stayed the night because they were tired.	mc500.train.0.6
The girls traded stories and caught up on their lives.	mc500.train.0.7
But she wanted some time to herself at the beach, so she went there first.	mc500.train.0.8
The restaurant had a special on catfish.	mc500.train.0.9
fun	mc500.train.0.10
The girls went to a restaurant for dinner.	mc500.train.0.11
Alyssa called her friends Kristin and Rachel to meet at Ellen's house.	mc500.train.0.12
It was Saturday afternoon and Andrew was bored.	mc500.train.23.1
It was Saturday afternoon and Andrew was bored.	mc500.train.23.2
Andrew looked outside the window and saw the newspaper by the door.	mc500.train.23.3
Andrew looked outside the window and saw the newspaper by the door.	mc500.train.23.4
On the front was a picture of an elephant.	mc500.train.23.5
He had been watching TV all day.	mc500.train.23.6
the story	mc500.train.23.7
The circus was in town!	mc500.train.23.8
Andrew had never been to the circus.	mc500.train.23.9
your goldfish	mc500.train.23.10
The people and animals at the circus did lots of tricks.	mc500.train.23.11
"Andrew's dad said, ""I think the newspaper is here."	mc500.train.23.12
Andrew and his dad had a lot of fun at the circus.	mc500.train.23.13
Andrew and his dad went to the circus.	mc500.train.23.14
The elephant even went down a slide!	mc500.train.23.15
Kelly woke up one morning and went outside to her back yard.	mc500.train.18.1
Kelly woke up one morning and went outside to her back yard.	mc500.train.18.2
Kelly woke up one morning and went outside to her back yard.	mc500.train.18.3
She was going to give her mom the biggest, most beautiful bunch of flowers her mother had ever seen.	mc500.train.18.4
a lot of different flowers	mc500.train.18.5
all of the flowers	mc500.train.18.6
She knew where the best flowers were in her yard.	mc500.train.18.7
After that, she had to hide the flowers in a secret spot.	mc500.train.18.8
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.10
Finally, her mother woke up at 8:30 AM, and Kelly was excited!	mc500.train.18.11
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.12
The red ones were big, the orange ones were small, and the green ones were in the middle.	mc500.train.18.13
them	mc500.train.18.14
Her mother's favorite was the red one.	mc500.train.18.15
Finally, her mother woke up at 8:30 AM, and Kelly was excited!	mc500.train.18.16
There once was a lion.	fables-06-16
The mouse immediately began gnawing the rope of the net with the tooth of the mouse.	fables-06-17
The lion lost temper and seized the mouse with the paw of the lion.	fables-06-18
The lion entangled himself in the net.	fables-06-19
some net	fables-06-20
The mouse said that -- if the lion were to free the mouse -- the mouse would repay kindness.	fables-06-25
The lion awaked because a mouse ran into the face of the lion.	fables-06-26
The lion lost temper and seized the mouse with the paw of the lion.	fables-06-27
The lion awaked because a mouse ran into the face of the lion.	fables-06-28
A group of neighbors	blogs-03-16
Once, storm was occurring in Louisiana.	blogs-03-17
The narrator went back to a store named Home Depot in order to purchase a portable generator.	blogs-03-18
The narrator went back to a store named Home Depot in order to purchase a portable generator.	blogs-03-19
The narrator filled a group of cars and filled the container of some gasoline.	blogs-03-20
The oven scorched a group of treats and created some fire.	blogs-06-16
The husband of the narrator unsuccessfully tried to eliminate the fire.	blogs-06-17
An oven	blogs-06-18
The husband of the narrator quickly shut the door of the oven in order to prevent the fire spreading.	blogs-06-21
The husband of a narrator who owned a house and owned the oven attempted for the husband of the narrator to retrieve the group of treats and discovered that the oven had created the fire.	blogs-06-22
The fox came and stood under the tree.	fables-01-14
The fox looked toward the crow and said that he saw a noble bird who was above him.	fables-01-15
The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.	fables-01-16
The crow was sitting on a branch of a tree.	fables-01-17
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.	fables-01-18
The bull was grazing in a meadow.	fables-02-19
The lion didn't attack the bull because the lion feared sharp every horn of the bull.	fables-02-20
The lion didn't attack the bull because the lion feared sharp every horn of the bull.	fables-02-21
The lion didn't attack the bull because the lion feared sharp every horn of the bull.	fables-02-22
The lion began to be hungry and decided to attempt to kill the bull.	fables-02-23
The police fired a tear gas at the people and fired a bullet at the people, and the people smashed a window.	blogs-01-19
The people rebelled and created riot.	blogs-01-20
A summit meeting named G20 summit started on eventful today.	blogs-01-21
A summit meeting named G20 summit started on eventful today.	blogs-01-22
A summit meeting named G20 summit started on eventful today.	blogs-01-23
A summit meeting named G20 summit started on eventful today.	blogs-01-24
The stork attempted to drink some savory broth and failed.	fables-04-14
The stork attempted to drink some savory broth and failed.	fables-04-15
some soup	fables-04-16
The stork attempted to drink some savory broth and failed.	fables-04-17
The narrator noticed that the ankle of the narrator was observed.	blogs-05-16
The narrator was a teacher, owned some white slip and owned a desk.	blogs-05-17
that the slip had fallen because the elastic of the slip was dysfunctional	blogs-05-20
He was stealing the fowl.	fables-05-14
The agriculturist set a trap and caught the fox.	fables-05-15
The agriculturist set a trap and caught the fox.	fables-05-16
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.	blogs-02-17
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.	blogs-02-18
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep.	blogs-02-19
The narrator stayed with the young man and didn't aid him because the young man had broken the neck of the young man.	blogs-02-20
The birds drank the bowl's water.	blogs-04-15
An eagle swooped toward a serpent and seized it in order for he to devour it.	fables-03-22
The eagle fought with the serpent, and the serpent coiled around him.	fables-03-23
An eagle swooped toward a serpent and seized it in order for he to devour it.	fables-03-24
The eagle fought with the serpent, and the serpent coiled around him.	fables-03-25
A countryman who owned a drinking vessel tried to help the eagle to escape.	fables-03-26
The serpent spat some poison in the drinking vessel.	fables-03-27
any rocks	mc500.train.25.2
Maxine was a happy frog that lived in a beautiful pond by the river.	mc500.train.25.3
Alyssa got to the beach after a long trip.	mc500.train.0.18
Alyssa got to the beach after a long trip.	mc500.train.0.19
On the front was a picture of an elephant.	mc500.train.23.23
There weren't any peanuts left to bring home to the goldfish.	mc500.train.23.24
them	mc500.train.18.22
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.23
A Lion asleep in his lair was waked up by a Mouse running over his face.	fables-06-10
A trapper spread some net in order to catch a big game.	fables-06-11
The mouse began to be extremely frightened and piteously entreated the lion to spare it.	fables-06-12
the voice of the lion	fables-06-13
One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.	fables-06-14
the ropes	fables-06-15
The lion	fables-06-21
the mouse	fables-06-22
to work to gnaw the ropes with its teeth	fables-06-23
the ropes	fables-06-24
The narrator filled a group of cars and filled the container of some gasoline.	blogs-03-10
An area of a neighborhood of the narrator had a large group of pine trees and had a group of oak trees.	blogs-03-11
The tree	blogs-03-12
The narrator stood up on a patio and watched a large tree.	blogs-03-13
The narrator began to be concerned because -- if the first tree were to later fall, and were to later fall on the house of the narrator -- the house of the narrator would have begun to be damaged, and the family of the narrator would begin to be wounded.	blogs-03-14
My wife, our five children, and our dog, stayed in an area of the home where we felt safest.	blogs-03-15
An oven broke because the broiler of the oven activated.	blogs-06-10
The fire ascended to the ceiling of the house.	blogs-06-11
The fire	blogs-06-12
The husband of the narrator quickly shut the door of the oven in order to prevent the fire spreading.	blogs-06-13
Woohoo!!	blogs-06-14
get	blogs-06-15
So excited about my new range I ordered a few days ago.	blogs-06-19
Nothing got damaged besides the range but it took days of airing the house out and cleaning before things were 100% back to normal.	blogs-06-20
The crow was sitting on a branch of a tree.	fables-01-8
The cheese fell.	fables-01-9
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01-10
A fox observed the crow and tried to discover how to get the cheese.	fables-01-11
that the beauty of the bird was incomparable	fables-01-12
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.	fables-01-13
But, my dear friend, what in the world makes you wear those ugly horns?	fables-02-12
A lion watched the bull and salivated because the lion wanted to eat the bull.	fables-02-13
A lion watched the bull and salivated because the lion wanted to eat the bull.	fables-02-14
the bull to remove every horn of the bull because every horn of the bull was ugly	fables-02-15
The lion advised the bull to remove every horn of the bull because every horn of the bull was ugly.	fables-02-16
to be hungry	fables-02-17
There once was a fat bull.	fables-02-18
The police fired a tear gas at the people and fired a bullet at the people, and the people smashed a window.	blogs-01-14
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.	blogs-01-15
A people protested because it disagreed about a view.	blogs-01-16
riot	blogs-01-17
Police were in full riot gear to alleviate the violence.	blogs-01-18
The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.	fables-04-9
The stork attempted to drink some savory broth and failed.	fables-04-10
The stork easily fitted the long bill of the stork into the long and narrow neck of the pitcher.	fables-04-11
A clever fox invited a stork to dine.	fables-04-12
some soup	fables-04-13
The narrator carefully stepped over the slip.	blogs-05-10
The group of students saw that the slip had fallen because the elastic of the slip was dysfunctional.	blogs-05-11
The narrator feigned bewilderment.	blogs-05-12
The narrator resumed teaching, and the group of students didn't react.	blogs-05-13
Later that day I wondered how they had described the day to their parents over dinner.	blogs-05-14
No one, strangely, batted an eyelid.	blogs-05-15
The narrator was a teacher, owned some white slip and owned a desk.	blogs-05-18
The narrator lifted the slip and inserted it into a bottom drawer of the desk.	blogs-05-19
fire	fables-05-9
The agriculturist set a trap and caught the fox.	fables-05-10
The agriculturist kindled the fiber and freed the fox.	fables-05-11
The agriculturist began to be unlucky because the fox ran into a field.	fables-05-12
The corn ignited and burned completely.	fables-05-13
A few years ago, a young man died out on my front lawn when he crashed his motorbike.	blogs-02-13
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.	blogs-02-14
The narrator stayed with the young man and didn't aid him because the young man had broken the neck of the young man.	blogs-02-15
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.	blogs-02-16
 The narrator placed the bowl on the deck in order for Benjamin to drink the bowl's water.	blogs-04-10
The squirrel approached the bowl.	blogs-04-11
 The narrator placed the bowl on the deck in order for Benjamin to drink the bowl's water.	blogs-04-12
The birds organized themselves on the deck's railing in order for the birds to wait.	blogs-04-13
a large steel bowl of water	blogs-04-14
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.	fables-03-13
The eagle fought with the serpent, and the serpent coiled around him.	fables-03-14
A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.	fables-03-15
A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.	fables-03-16
a drinking vessel	fables-03-17
A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.	fables-03-18
The eagle escaped, and the countryman freed the eagle from the serpent.	fables-03-19
The serpent spat some poison in the drinking vessel.	fables-03-20
Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.	fables-03-21
Maxine was a happy frog that lived in a beautiful pond by the river.	mc500.train.25.1
it start to thunder	mc500.train.111.2
Will got hungry and went inside to get a biscuit.	mc500.train.111.3
Will walked over to the living room.	mc500.train.111.4
some lemonade to drink	mc500.train.0.13
After eating, the ladies went back to Ellen's house to have fun.	mc500.train.0.14
Alyssa was happy to spend time with her friends again.	mc500.train.0.15
Alyssa got to the beach after a long trip.	mc500.train.0.16
Alyssa called her friends Kristin and Rachel to meet at Ellen's house.	mc500.train.0.21
After eating, the ladies went back to Ellen's house to have fun.	mc500.train.0.22
"andrew's dad said, ""i think the newspaper is here. maybe we can find an idea in the newspaper."""	mc500.train.23.16
"Andrew's dad said, ""I think the newspaper is here."	mc500.train.23.17
The elephant even went down a slide!	mc500.train.23.18
The people and animals at the circus did lots of tricks.	mc500.train.23.19
it	mc500.train.23.20
Andrew and his dad went to the circus.	mc500.train.23.21
He promised to bring it some peanuts from the circus for later.	mc500.train.23.22
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.9
After Kelly collected all of the flowers, she went inside and tied them together with string.	mc500.train.18.17
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.18
She hoped her baby sister Morgan, who was still in diapers, wouldn't find the flowers and eat them.	mc500.train.18.19
She hoped her baby sister Morgan, who was still in diapers, wouldn't find the flowers and eat them.	mc500.train.18.20
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.21
